code	name
PJ	CAETANO
PK	PORTARO
PL	UMM
PM	BOVA
PN	"VAN HOOL"
PP	EOS
PR	VOLVO
PS	MITSUBISHI
PT	THINK
PU	SANTANA
PV	VDL
PW	TEMSA
PX	AVIA
PY	"VDL BOVA"
Q0	SKODA
Q1	WARTBURG
Q2	MOSKVICH
Q3	VOLGA
Q4	POLSKI-FIAT
Q5	LADA
Q6	ZASTAVA
Q7	"FSO CARS"
Q8	DACIA
Q9	UNKNOWN
QA	ARO
QB	AUTOSAN
QC	SAN
QD	REVA
QE	"ENTERPRISE BUS"
QF	VOLVO
QG	TAM
QH	TERBERG
QK	KTM
QP	PINZGAUER
QV	VOLVO
R0	HONDA
R1	TOYOTA
R2	DATSUN
R3	MAZDA
R4	COLT
R5	SUBARU
R6	SUZUKI
R7	DAIHATSU
R8	HYUNDAI
R9	UNKNOWN
RA	NISSAN
RB	MITSUBISHI
RC	ISUZU
RD	AEON
RE	HINO
RF	LEXUS
RG	KIA
RH	"ROYAL ENFIELD"
RJ	ASIA
RK	"EASY RIDER"
RL	SANYANG
RM	PROTON
RN	TATA
RP	DAEWOO
RQ	TOYOTA
RR	SSANGYONG
RS	JIALING
RT	PGO
RU	"ISUZU TRUCKS"
RV	PERODUA
RW	INFINITI
RX	HONGYANG
RY	REWACO
RZ	"MITSUBISHI FUSO"
S0	URSUS
S1	UNIVERSAL
S2	SAME
S3	ROADLESS
S4	MUIR-HILL
S6	RENAULT
S7	MCCORMICK
S8	REDROCK
SA	"CLASSIC CUSTOM"
SB	EPC
SC	AVANTI
SD	SKYWING
SE	VERTEMATI
SF	VULCAN
SG	MOTOMEL
SH	NIPPI
SJ	BOOM
SK	SECMA
SL	JIANSHE
SM	CCS
SN	JINCHENG
SO	BATISTINIS
SP	PHOENIX
SR	SWAP
SS	HONGDOU
ST	CTM
SU	MAGNI
SV	VELOSOLEX
SW	KINETIC
SX	KAZUMA
SY	SINSKI
SZ	HONCHING
T0	AJS
T1	BSA
T2	"NORTON VILL. TRIUMPH"
T3	MATCHLESS
T4	NORTON
T5	COSSACK
T6	MZ
T7	TRIUMPH
T8	MALAGUTI
TA	BAJAJ
TB	MIG
TC	"PS MOTOR MANET"
TD	DERBI
TE	SAXON
TF	SUNDIRO
TG	MOTRON
TH	HUSABERG
TJ	HUSQVARNA
TK	"Z Y MOTOR"
TL	DAELIM
TM	SYM
TN	"DI BLASI"
TP	BSA
TR	HYOSUNG
TS	"ARIX ROTARY"
TT	"MV AGUSTA"
TU	SACHS
TV	"TAIWAN GOLDEN BEE"
TW	SHERCO
TX	GREEVES
TY	EVT
U0	HONDA
U1	NEVAL
U2	BETA
U3	MORINI
U4	APRILIA
U5	BIMOTA
U6	DUCATI
U7	"MOTO GUZZI"
U8	REGENT
UA	SIMSON
UB	RALEIGH
UC	VELOCETTE
UD	ATALA
UE	ITALJET
UF	KYMCO
UG	ADLY
UH	CCM
UJ	MBK
UK	SUPERMOTO
UL	MONTESA
UM	"APPLIED SWEEPER"
UN	HARTFORD
UP	"HER CHE"
UR	"MOTO ROMA"
US	JORDAN
UT	HERTFORD
UU	MODENAS
UV	"SHE LUNG"
UW	CHUNLAN
UX	CPI
V0	CZ
V1	GARELLI
V2	GILERA
V3	YAMAHA
V4	LAMBRETTA
V5	MOBYLETTE
V6	PUCH
V7	SUZUKI
V8	"VESPA (DOUGLAS)"
VA	BMW
VB	CAGIVA
VC	TOMOS
VD	CHAMP
VE	FACTORY
VF	SMC
VG	"HERO PUCH"
VH	SIAMOTO
VJ	BULTACO
VV	TM
VW	KANGDA
VX	CHITUMA
VY	BRANSON
W0	HARLEY-DAVIDSON
W1	JAWA
W2	KAWASAKI
W3	KTM
W4	"FANTIC MOTOR"
W5	BENELLI
W6	BATAVUS
W7	DOUGLAS
W8	MOTOBECANE
WA	PIAGGIO
WB	PENTA
WC	BITELLI
WD	LAVERDA
WE	"MOTOR JIKOV"
WF	KANUNI
WG	BUELL
WH	RIEJU
WJ	"MOTOR HISPANIA"
WK	MANET
WL	BABETTA
WM	"CELCO PROFIL"
WN	VICTORY
WP	UVM
WR	WARRIOR
WS	LML
WT	LIFAN
WU	URAL
WV	TAISHAN
WX	ROVIGO
WY	FOSTI
X0	"AVELING BARFORD"
X1	"BRIT JEFFREY DIAMOND"
X2	CASE
X3	CLARK
X4	"COUNTY COMM CARS"
X5	"DAVID BROWN"
X6	EUCLID
X7	"NEW HOLLAND"
X8	"INT. HARVESTER"
XA	"CASE IH"
XB	"FORD NEW HOLLAND"
XC	CATERPILLAR
XD	ZETOR
XE	CLAAS
XF	ATLAS
XG	BELARUS
XH	BOMAG
XJ	"DEUTZ FAHR"
XK	FENDT
XL	ISEKI
XM	JUNGHEINRICH
XN	KATO
XP	KOMATSU
XR	KUBOTA
XS	LIEBHERR
XT	MANITOU
XU	MOXY
XV	POCLAIN
XW	SCHMIDT
XX	"NEW HOLLAND"
XY	TAFE
XZ	RENAULT
Y0	JCB
Y1	"JOHN ALLEN"
Y2	"JOHN DEERE"
Y3	"HY-MAC LTD"
Y4	"MASSEY FERGUSON"
Y5	"WHITLOCK BROS"
Y6	WINGET
Y7	MARSHALL
Y8	MERLO
Y9	UNKNOWN
YA	BENFORD
YB	"BLAW KNOX"
YC	"BOB CAT"
YD	BONSER
YE	FORDSON
YF	GROVE
YG	HYSTER
YH	JAMES
YJ	"LANSING LINDE"
YK	LINER
YL	MATBRO
YM	NUFFIELD
YN	RANSOME
YP	"STOTHERT AND PITT"
YR	THWAITES
YS	YALE
YT	VALMET
YU	LANDINI
YV	CLAYTON
YW	"TONG YANG"
YX	EUROTRAC
YY	"AGCO ALLIS"
YZ	MCCORMICK
Z0	"AC (ELECTRIC)"
Z1	"CROMPTON (LEYLAND)"
Z2	"HARBILT ELECTRIC"
Z3	"COVENTRY CLIMAX"
Z4	ELECTRICARS
Z5	"TIPPEN DELTA"
Z6	SMITHS
Z7	W+E
Z8	"WINGATE + ROGERS"
Z9	UNKNOWN
ZA	INVACAR
ZB	YANMAR
ZC	VALTRA
ZD	AEBI
ZE	BENYE
ZF	BCS
ZG	HURLIMANN
ZH	JACOBSEN
ZJ	KIOTI
ZK	MULTIDRIVE
ZL	SAME
ZM	SHIBAURA
ZN	SHIRE
ZP	SIROMER
ZQ	TYM
ZR	UNIMOG
ZS	UNIVERSAL
ZT	URSUS
ZU	DIECI
ZV	VALPADANA
PZ	INDCAR
1E	SCUTUM
GT	MCLAREN
LX	RENAULT
MG	"WACKER NEUSON"
MS	WEIDERMANN
